Ñuñoa, Población total sabe leer y escribir, 143906.0
Estación Central, Población total sabe leer y escribir, 109634.0
Peñalolén, Población total sabe leer y escribir, 172164.0
Macul, Población total sabe leer y escribir, 95143.0
Pedro Aguirre Cerda, Población total sabe leer y escribir, 95275.0
San Joaquín, Población total sabe leer y escribir, 82063.0
San Miguel, Población total sabe leer y escribir, 67816.0
Cerrillos, Población total sabe leer y escribir, 58701.0
Maipú, Población total sabe leer y escribir, 381660.0
María Pinto, Población total sabe leer y escribir, 7944.0
Lo Espejo, Población total sabe leer y escribir, 89918.0
La Florida, Población total sabe leer y escribir, 304596.0
La Cisterna, Población total sabe leer y escribir, 72055.0
La Granja, Población total sabe leer y escribir, 107105.0
San Ramón, Población total sabe leer y escribir, 75743.0
El Bosque, Población total sabe leer y escribir, 142582.0
Padre Hurtado, Población total sabe leer y escribir, 30587.0
La Pintana, Población total sabe leer y escribir, 147608.0
San Bernardo, Población total sabe leer y escribir, 195084.0
Puente Alto, Población total sabe leer y escribir, 392532.0
Peñaflor, Población total sabe leer y escribir, 52765.0
Calera De Tango, Población total sabe leer y escribir, 14094.0
Pirque, Población total sabe leer y escribir, 13002.0
San José De Maipo, Población total sabe leer y escribir, 10897.0
Talagante, Población total sabe leer y escribir, 47087.0
El Monte, Población total sabe leer y escribir, 20464.0
Melipilla, Población total sabe leer y escribir, 74067.0
Buin, Población total sabe leer y escribir, 50065.0
Isla De Maipo, Población total sabe leer y escribir, 20030.0
Paine, Población total sabe leer y escribir, 38833.0
San Pedro, Población total sabe leer y escribir, 5696.0
Alhué, Población total sabe leer y escribir, 3281.0
Región Del Libertador Gral. Bernardo O'higgins, Población total sabe leer y escribir, 607744.0
Navidad, Población total sabe leer y escribir, 4173.0
Mostazal, Población total sabe leer y escribir, 16870.0
Codegua, Población total sabe leer y escribir, 8324.0
Graneros, Población total sabe leer y escribir, 20211.0
Litueche, Población total sabe leer y escribir, 4071.0
Rancagua, Población total sabe leer y escribir, 172443.0
Machalí, Población total sabe leer y escribir, 22298.0
Doñihue, Población total sabe leer y escribir, 13237.0
La Estrella, Población total sabe leer y escribir, 3485.0
Olivar, Población total sabe leer y escribir, 9387.0
Coinco, Población total sabe leer y escribir, 4991.0
Requínoa, Población total sabe leer y escribir, 17011.0
Las Cabras, Población total sabe leer y escribir, 15196.0
Coltauco, Población total sabe leer y escribir, 12236.0
Quinta De Tilcoco, Población total sabe leer y escribir, 8779.0
Pichidegua, Población total sabe leer y escribir, 13332.0
Peumo, Población total sabe leer y escribir, 10788.0
Pichilemu, Población total sabe leer y escribir, 9437.0
Marchihue, Población total sabe leer y escribir, 5223.0
Rengo, Población total sabe leer y escribir, 39371.0
San Vicente, Población total sabe leer y escribir, 31318.0
Malloa, Población total sabe leer y escribir, 9982.0
Peralillo, Población total sabe leer y escribir, 7280.0
Palmilla, Población total sabe leer y escribir, 8467.0
San Fernando, Población total sabe leer y escribir, 50622.0
Pumanque, Población total sabe leer y escribir, 2507.0
Placilla, Población total sabe leer y escribir, 6068.0
Santa Cruz, Población total sabe leer y escribir, 24955.0
Paredones, Población total sabe leer y escribir, 4618.0
Nancagua, Población total sabe leer y escribir, 11943.0
Chimbarongo, Población total sabe leer y escribir, 24422.0
Lolol, Población total sabe leer y escribir, 4363.0
Chépica, Población total sabe leer y escribir, 10336.0
Región Del Maule, Población total sabe leer y escribir, 700020.0
Teno, Población total sabe leer y escribir, 18900.0
Vichuquén, Población total sabe leer y escribir, 3647.0
Rauco, Población total sabe leer y escribir, 6346.0
Romeral, Población total sabe leer y escribir, 9597.0
Hualañé, Población total sabe leer y escribir, 7119.0
Curicó, Población total sabe leer y escribir, 94819.0
Licantén, Población total sabe leer y escribir, 5257.0
Sagrada Familia, Población total sabe leer y escribir, 13047.0
Curepto, Población total sabe leer y escribir, 8002.0
Molina, Población total sabe leer y escribir, 29855.0
Río Claro, Población total sabe leer y escribir, 9136.0
San Rafael, Población total sabe leer y escribir, 5443.0
Constitución, Población total sabe leer y escribir, 34937.0
Pelarco, Población total sabe leer y escribir, 5331.0
Pencahue, Población total sabe leer y escribir, 5942.0
Talca, Población total sabe leer y escribir, 162111.0
Maule, Población total sabe leer y escribir, 12604.0
San Clemente, Población total sabe leer y escribir, 27164.0
Empedrado, Población total sabe leer y escribir, 2917.0
San Javier, Población total sabe leer y escribir, 28628.0
Villa Alegre, Población total sabe leer y escribir, 11458.0
Colbún, Población total sabe leer y escribir, 13216.0
Chanco, Población total sabe leer y escribir, 7040.0
Yerbas Buenas, Población total sabe leer y escribir, 11980.0
Pelluhue, Población total sabe leer y escribir, 4834.0
Linares, Población total sabe leer y escribir, 65672.0
Longaví, Población total sabe leer y escribir, 20736.0
Cauquenes, Población total sabe leer y escribir, 31717.0
Retiro, Población total sabe leer y escribir, 13792.0
Parral, Población total sabe leer y escribir, 28773.0
Región Del Biobío, Población total sabe leer y escribir, 1461888.0
Cobquecura, Población total sabe leer y escribir, 4132.0
Quirihue, Población total sabe leer y escribir, 8864.0
Ñiquén, Población total sabe leer y escribir, 8462.0
Ninhue, Población total sabe leer y escribir, 4122.0
San Carlos, Población total sabe leer y escribir, 37755.0
Treguaco, Población total sabe leer y escribir, 3760.0
Coelemu, Población total sabe leer y escribir, 12289.0
San Nicolás, Población total sabe leer y escribir, 7067.0
Portezuelo, Población total sabe leer y escribir, 3990.0
San Fabián, Población total sabe leer y escribir, 2564.0
Chillán, Población total sabe leer y escribir, 130662.0
Tomé, Población total sabe leer y escribir, 42039.0
Coihueco, Población total sabe leer y escribir, 16902.0
Chillán Viejo, Población total sabe leer y escribir, 16807.0
Ránquil, Población total sabe leer y escribir, 4307.0
Pinto, Población total sabe leer y escribir, 7544.0
Penco, Población total sabe leer y escribir, 37242.0
Bulnes, Población total sabe leer y escribir, 15764.0
Quillón, Población total sabe leer y escribir, 11354.0
Talcahuano, Población total sabe leer y escribir, 205711.0
Hualpén, Población total sabe leer y escribir, -
San Ignacio, Población total sabe leer y escribir, 11883.0
Concepción, Población total sabe leer y escribir, 181078.0
Florida, Población total sabe leer y escribir, 7442.0
San Pedro De La Paz, Población total sabe leer y escribir, 64046.0
El Carmen, Población total sabe leer y escribir, 9352.0
Chiguayante, Población total sabe leer y escribir, 65571.0
Hualqui, Población total sabe leer y escribir, 14252.0
Pemuco, Población total sabe leer y escribir, 6413.0
Coronel, Población total sabe leer y escribir, 76361.0
Cabrero, Población total sabe leer y escribir, 18763.0
Lota, Población total sabe leer y escribir, 38586.0
Yumbel, Población total sabe leer y escribir, 15364.0
Yungay, Población total sabe leer y escribir, 13011.0
Santa Juana, Población total sabe leer y escribir, 9263.0
Arauco, Población total sabe leer y escribir, 26497.0
San Rosendo, Población total sabe leer y escribir, 3055.0
Laja, Población total sabe leer y escribir, 16694.0
Tucapel, Población total sabe leer y escribir, 9778.0
